company_name,cik
PENN WEST ENERGY TRUST,1334388
BRF-BRASIL FOODS S.A.,1122491
PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,1001807
PETAQUILLA MINERALS LTD,947121
PETRO-CANADA,795615
PETROBRAS - PETROLEO BRASILEIRO SA,1119639
PETROBRAS ENERGIA PARTICIPACIONES SA,1099205
PETROBRAS INTERNATIONAL FINANCE CO,1163371
PETROCHINA CO LTD,1108329
PHILIPPINE LONG DISTANCE TELEPHONE CO,78150
PNI DIGITAL MEDIA INC,1036642
PLATINUM GROUP METALS LTD,1095052
PLAY LA INC.,1378553
POINTS INTERNATIONAL LTD,1204413
POLYMET MINING CORP,866028
WESTBRIDGE ENERGY Corp,1008112
PORTUGAL TELECOM SGPS SA,944747
POSCO,889132
POWERNOVA TECHNOLOGIES CORP,1281216
PRANA BIOTECHNOLOGY LTD,1131343
PRECISION DRILLING Corp,1013605
PROGEN PHARMACEUTICALS LTD,943502
PROVIDA PENSION FUND ADMINISTRATOR,931588
PROVIDENT ENERGY TRUST,1142229
PRUDENTIAL PLC,1116578
PT Indosat Tbk,929700
PURE NICKEL INC.,877019
Pacific Airport Group,1347557
Pacific Booker Minerals Inc.,1319150
Paragon Shipping Inc.,1401112
Patni Computer Systems LTD,1324503
Pediment Gold Corp.,1348909
"Perfect World Co., Ltd.",1403849
Petroflow Energy Ltd,1359154
Pharmaxis Ltd.,1301357
"Pixelplus Co., Ltd.",1331588
Pointer Telocation Ltd,920532
Portal Resources Ltd.,1326910
PreMD Inc.,1179083
QIAGEN NV,1015820
"QIAO XING UNIVERSAL RESOURCES, INC",1051846
QSOUND LABS INC,840518
QUARTZ MOUNTAIN RESOURCES LTD,811522
QUATERRA RESOURCES INC,1339688
QUEBECOR MEDIA INC,1156831
WORLD COLOR PRESS INC.,1003470
Sprott Resource Lending Corp.,832342
"Qiao Xing Mobile Communication Co., Ltd.",1386607
Qimonda AG,1369377
RADA ELECTRONIC INDUSTRIES LTD,761238
RADCOM LTD,1016838
RADVISION LTD,1105519
RADWARE LTD,1094366
RANDGOLD RESOURCES LTD,1175580
REDIFF COM INDIA LTD,1103783
REED ELSEVIER NV,929872
REED ELSEVIER PLC,929869
REG TECHNOLOGIES INC,925541
REPSOL YPF SA,847838
RESEARCH IN MOTION LTD,1070235
RESPONSE BIOMEDICAL CORP,806888
RETALIX LTD,1064060
RICHMONT MINES INC,1023996
RICOH CO LTD,317891
KISKA METALS CORP.,1135347
RIO TINTO LTD,887028
RIO TINTO PLC,863064
RIT TECHNOLOGIES LTD,1041844
RITCHIE BROS AUCTIONEERS INC,1046102
ROCHESTER RESOURCES LTD,1099957
ROCKWELL DIAMONDS INC.,1095847
ROGERS COMMUNICATIONS INC,733099
ROYAL BANK OF CANADA \,1000275
ROYAL BANK OF SCOTLAND GROUP PLC,844150
ROYAL STANDARD MINERALS INC,1027162
RRSat Global Communications Network Ltd.,1375829
RUBICON MINERALS CORP,1057791
RYANAIR HOLDINGS PLC,1038683
ReneSola Ltd,1417892
